K,L,lookups/sec,inserts/sec,ops/sec,loadtime
0,0,46310000.0,12485000.0,24320000.0,0.0063575
0,10,47435000.0,12180000.0,24145000.0,0.006416
0,20,44500000.0,12610000.0,24145000.0,0.0061515
0,30,43245000.0,12175000.0,23370000.0,0.0064095
0,40,46695000.0,12840000.0,24840000.0,0.006222500000000001
0,50,41500000.0,12440000.0,23325000.0,0.0062900000000000005
0,60,43015000.0,12200000.0,23350000.0,0.0063965
0,70,46065000.0,12430000.0,24195000.0,0.0063514999999999995
0,80,43455000.0,12315000.0,23585000.0,0.006383
0,90,43850000.0,12450000.0,23820000.0,0.006268
0,100,44355000.0,12605000.0,24100000.0,0.0063025
10,0,42220000.0,12205000.0,23205000.0,0.006265
10,10,86345000.0,8204500.0,20680000.0,0.01046
10,20,97440000.0,8139000.0,20925000.0,0.01116
10,30,79950000.0,8916000.0,21870000.0,0.025759999999999998
10,40,81685000.0,9100500.0,22325000.0,0.027299999999999998
10,50,81605000.0,8794000.0,21705000.0,0.031270000000000006
10,60,83405000.0,8722500.0,21640000.0,0.02819
10,70,78825000.0,8365000.0,20700000.0,0.034655000000000005
10,80,85945000.0,8505500.0,21300000.0,0.035394999999999996
10,90,80230000.0,8716000.0,21480000.0,0.033060000000000006
10,100,78920000.0,8398500.0,20760000.0,0.023605
20,0,43555000.0,12330000.0,23625000.0,0.0063285
20,10,96280000.0,7538500.0,19555000.0,0.012570000000000001
20,20,78745000.0,8262500.0,20480000.0,0.02915
20,30,76710000.0,8105500.0,20075000.0,0.03236
20,40,82850000.0,8393500.0,20935000.0,0.03591
20,50,74560000.0,8488500.0,20740000.0,0.037385
20,60,74240000.0,8649000.0,21040000.0,0.04012
20,70,80015000.0,8355500.0,20735000.0,0.045024999999999996
20,80,73995000.0,8536500.0,20810000.0,0.047435000000000005
20,90,79055000.0,8015500.0,19990000.0,0.033979999999999996
20,100,77145000.0,7855000.0,19580000.0,0.031
30,0,57145000.0,12205000.0,25655000.0,0.006559
30,10,88005000.0,7995000.0,20290000.0,0.026099999999999998
30,20,87545000.0,8040500.0,20365000.0,0.0297
30,30,79460000.0,8029500.0,20035000.0,0.03447
30,40,85070000.0,8068000.0,20340000.0,0.03671
30,50,76135000.0,8184500.0,20185000.0,0.045204999999999995
30,60,77890000.0,7771500.0,19435000.0,0.037015
30,70,75445000.0,8073000.0,19945000.0,0.047635
30,80,78250000.0,7557500.0,18980000.0,0.039035
30,90,74720000.0,7555000.0,18850000.0,0.037720000000000004
30,100,72680000.0,7239500.0,18110000.0,0.029625
40,0,58450000.0,12630000.0,26450000.0,0.0061875
40,10,85315000.0,7673500.0,19505000.0,0.02939
40,20,83825000.0,8108500.0,20380000.0,0.033990000000000006
40,30,73725000.0,7648000.0,19005000.0,0.043935
40,40,78240000.0,8225000.0,20355000.0,0.043429999999999996
40,50,76720000.0,8481500.0,20835000.0,0.0499
40,60,71360000.0,8552500.0,20700000.0,0.0434
40,70,81720000.0,8435000.0,20975000.0,0.044905
40,80,78060000.0,8643000.0,21210000.0,0.04413
40,90,72840000.0,8379500.0,20435000.0,0.048055
40,100,73565000.0,7154000.0,17965000.0,0.03495
50,0,57050000.0,12445000.0,25990000.0,0.006378
50,10,89080000.0,9000500.0,22455000.0,0.029715
50,20,87905000.0,8886000.0,22170000.0,0.038
50,30,77585000.0,8941500.0,21800000.0,0.044145000000000004
50,40,79790000.0,9135500.0,22300000.0,0.042705
50,50,78730000.0,9370000.0,22700000.0,0.053040000000000004
50,60,82375000.0,8780000.0,21710000.0,0.049335000000000004
50,70,87115000.0,9090000.0,22565000.0,0.057075
50,80,74320000.0,9472500.0,22635000.0,0.056395
50,90,85305000.0,9051500.0,22400000.0,0.045465
50,100,77825000.0,7338000.0,18520000.0,0.036934999999999996
60,0,57080000.0,12585000.0,26200000.0,0.0062975
60,10,88325000.0,9432000.0,23315000.0,0.034464999999999996
60,20,100950000.0,9439000.0,23855000.0,0.036114999999999994
60,30,96160000.0,9583000.0,23975000.0,0.042855000000000004
60,40,86525000.0,9370000.0,23085000.0,0.046795
60,50,79720000.0,9679500.0,23365000.0,0.05243
60,60,95270000.0,9335000.0,23415000.0,0.052684999999999996
60,70,89150000.0,9597000.0,23680000.0,0.05074
60,80,87725000.0,10330000.0,25085000.0,0.046855
60,90,84450000.0,9646500.0,23560000.0,0.04559
60,100,76630000.0,7362000.0,18520000.0,0.038855
70,0,50580000.0,12210000.0,24705000.0,0.0063855
70,10,106050000.0,9379500.0,23905000.0,0.037040000000000003
70,20,109600000.0,9441000.0,24160000.0,0.038364999999999996
70,30,104000000.0,9962500.0,25075000.0,0.047785
70,40,103150000.0,10265000.0,25690000.0,0.047920000000000004
70,50,93200000.0,11505000.0,27680000.0,0.056435
70,60,98695000.0,11915000.0,28790000.0,0.051949999999999996
70,70,98160000.0,12575000.0,30035000.0,0.05739
70,80,95930000.0,12115000.0,29010000.0,0.052285
70,90,100680000.0,12065000.0,29200000.0,0.04969
70,100,88360000.0,7451500.0,19125000.0,0.035105
80,0,42530000.0,12185000.0,23235000.0,0.0064565
80,10,112050000.0,12455000.0,30565000.0,0.037720000000000004
80,20,112900000.0,13505000.0,32650000.0,0.040195
80,30,118200000.0,13955000.0,33860000.0,0.044005
80,40,112700000.0,15225000.0,35950000.0,0.04501
80,50,98960000.0,15315000.0,35080000.0,0.053995
80,60,100345000.0,16195000.0,36730000.0,0.056345
80,70,92680000.0,16150000.0,35925000.0,0.058785000000000004
80,80,95890000.0,16065000.0,36100000.0,0.058875
80,90,92380000.0,15885000.0,35460000.0,0.059685
80,100,93490000.0,8161500.0,20845000.0,0.03838
90,0,54360000.0,12045000.0,25035000.0,0.0065315
90,10,104550000.0,14085000.0,33285000.0,0.0379
90,20,108950000.0,13985000.0,33380000.0,0.044695
90,30,116350000.0,14900000.0,35575000.0,0.043230000000000005
90,40,111650000.0,15515000.0,36420000.0,0.047564999999999996
90,50,100395000.0,15530000.0,35585000.0,0.05161
90,60,93595000.0,15100000.0,34250000.0,0.05609
90,70,92090000.0,15905000.0,35470000.0,0.05505
90,80,85535000.0,15125000.0,33520000.0,0.06395
90,90,93900000.0,15685000.0,35270000.0,0.053085
90,100,92465000.0,9021500.0,22645000.0,0.037279999999999994
100,0,54500000.0,12295000.0,25415000.0,0.00651
100,10,113250000.0,13905000.0,33490000.0,0.03862
100,20,104790000.0,13805000.0,32780000.0,0.046055
100,30,101445000.0,14180000.0,33245000.0,0.04714
100,40,109250000.0,14950000.0,35200000.0,0.052155
100,50,95225000.0,15375000.0,34865000.0,0.062905
100,60,102500000.0,16765000.0,37895000.0,0.0563
100,70,104600000.0,17450000.0,39250000.0,0.058124999999999996
100,80,90785000.0,15885000.0,35305000.0,0.0553
100,90,108300000.0,10790000.0,26995000.0,0.086445
100,100,88765000.0,9677000.0,23835000.0,0.042304999999999995
